# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
אקלסטה	ACLASTA	ZOLEDRONIC ACID	מותר להתרים	טיפול באוסטאופורוזיס
אקמול	ACAMOL	PARACETAMOL	מותר להתרים	נגד כאבים
אקמול	ACAMOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
אקמול פוקוס	ACAMOL FOCUS	PARACETAMOL, CAFFEINE, ACETYL SALICILIC ACID	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום וצינון
אקמול פוקוס	ACAMOL FOCUS	PARACETAMOL, CAFFEINE, ACETYL SALICILIC ACID	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אקסדרין	EXCEDRIN	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום
אקסדרין	EXCEDRIN	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אקסידול	EXIDOL	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום
אקסידול	EXIDOL	ACETYL SALICYLIC ACID CAFFEINE , PARACETAMOL	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אקספורג'	EXFORGE	AMLODIPINE, VALSARTAN	מותר להתרים אם לחץ הדם מאוזן	טיפול ביתר לחץ דם
אקרוז	ACROSE	ACARBOSE	מותר להתרים אם סכרת מאוזנת	טיפול בסכרת
ארדוטין	ERDOTIN	ERDOSTEINE	מותר להתרים לאחר סיום הטיפול והחלמה	נגד שעול עם ליחה
ארטופן	ARTOFEN	IBUPROFEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
ארטופן	ARTOFEN	IBUPROFEN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
ארטריל	ARTHRYL	GLUCOSAMINE	מותר להתרים	טיפול באוסטאוארטריטיס
אריוס	AERIUS	DESLORATADINE	מותר להתרים	טיפול באלרגיה
